Subject,Nonword,ARPA,TrialNum,TestOrControl,Naturalness,Type,Hwi_ConstraintWeight,Hwi_Score,Albright2009,Task,TaskOrder,SubjectResponse,LogResponse
24,ezger,EH Z G ER,14,control,natural,NatCon,3.138,0,0.000000117,line,2,112.6913,4.724652222
25,ezger,EH Z G ER,13,control,natural,NatCon,3.138,0,0.000000117,line,2,48.1875,3.875099651
26,ezger,EH Z G ER,73,control,natural,NatCon,3.138,0,0.000000117,line,1,402.5126,5.997726401
27,ezger,EH Z G ER,18,control,natural,NatCon,3.138,0,0.000000117,line,2,114.9861,4.744811251
28,ezger,EH Z G ER,13,control,natural,NatCon,3.138,0,0.000000117,line,2,164.083,5.100372397
29,ezger,EH Z G ER,49,control,natural,NatCon,3.138,0,0.000000117,line,2,49.48535,3.901676666
1,jout,JH AW T,1,control,natural,NatCon,4.648,0,0.00000637,line,2,174.6391,5.162721559
2,jout,JH AW T,47,control,natural,NatCon,4.648,0,0.00000637,line,1,337.2817,5.820918486
3,jout,JH AW T,13,control,natural,NatCon,4.648,0,0.00000637,line,2,203.7292,5.316791661
4,jout,JH AW T,58,control,natural,NatCon,4.648,0,0.00000637,line,1,471.4135,6.155735628
5,jout,JH AW T,49,control,natural,NatCon,4.648,0,0.00000637,line,2,298.2144,5.697812691
6,jout,JH AW T,69,control,natural,NatCon,4.648,0,0.00000637,line,1,281.3605,5.639636765
7,jout,JH AW T,68,control,natural,NatCon,4.648,0,0.00000637,line,2,91.16136,4.512631123
8,jout,JH AW T,17,control,natural,NatCon,4.648,0,0.00000637,line,2,156.9261,5.055774994
9,jout,JH AW T,55,control,natural,NatCon,4.648,0,0.00000637,line,1,68.37102,4.224949051
10,jout,JH AW T,70,control,natural,NatCon,4.648,0,0.00000637,line,1,379.6802,5.939329319
11,jout,JH AW T,61,control,natural,NatCon,4.648,0,0.00000637,line,1,187.6012,5.234318433
12,jout,JH AW T,80,control,natural,NatCon,4.648,0,0.00000637,line,2,NA,NA
13,jout,JH AW T,74,control,natural,NatCon,4.648,0,0.00000637,line,2,106.8556,4.67147839
14,jout,JH AW T,49,control,natural,NatCon,4.648,0,0.00000637,line,2,33.39894,3.508524163
15,jout,JH AW T,10,control,natural,NatCon,4.648,0,0.00000637,line,2,126.75,4.842216642
16,jout,JH AW T,30,control,natural,NatCon,4.648,0,0.00000637,line,2,137.8322,4.926037003
17,jout,JH AW T,25,control,natural,NatCon,4.648,0,0.00000637,line,2,108.0409,4.682509859
18,jout,JH AW T,10,control,natural,NatCon,4.648,0,0.00000637,line,2,582.1044,6.366649813
19,jout,JH AW T,37,control,natural,NatCon,4.648,0,0.00000637,line,1,257.8456,5.552360956
20,jout,JH AW T,31,control,natural,NatCon,4.648,0,0.00000637,line,2,203.1504,5.313946591
21,jout,JH AW T,7,control,natural,NatCon,4.648,0,0.00000637,line,2,358.7694,5.882679842
22,jout,JH AW T,4,control,natural,NatCon,4.648,0,0.00000637,line,2,106.141,4.664768399
23,jout,JH AW T,5,control,natural,NatCon,4.648,0,0.00000637,line,2,131.5526,4.879406772
24,jout,JH AW T,16,control,natural,NatCon,4.648,0,0.00000637,line,2,360.071,5.886301234
25,jout,JH AW T,75,control,natural,NatCon,4.648,0,0.00000637,line,2,122.4267,4.807512484
26,jout,JH AW T,57,control,natural,NatCon,4.648,0,0.00000637,line,1,257.8456,5.552360956
27,jout,JH AW T,22,control,natural,NatCon,4.648,0,0.00000637,line,2,390.4817,5.967381105
28,jout,JH AW T,10,control,natural,NatCon,4.648,0,0.00000637,line,2,161.4838,5.084404828
29,jout,JH AW T,47,control,natural,NatCon,4.648,0,0.00000637,line,2,474.0375,6.161286432
1,kilp,K IH L P,49,control,natural,NatCon,4.538,0,0.00000943,line,2,347.7439,5.851466289
2,kilp,K IH L P,34,control,natural,NatCon,4.538,0,0.00000943,line,1,381.5581,5.944263133
3,kilp,K IH L P,1,control,natural,NatCon,4.538,0,0.00000943,line,2,121.9386,4.803517639
4,kilp,K IH L P,9,control,natural,NatCon,4.538,0,0.00000943,line,1,496.1558,6.20688999
5,kilp,K IH L P,61,control,natural,NatCon,4.538,0,0.00000943,line,2,220.7317,5.396947937
6,kilp,K IH L P,36,control,natural,NatCon,4.538,0,0.00000943,line,1,179.0778,5.187820348
7,kilp,K IH L P,78,control,natural,NatCon,4.538,0,0.00000943,line,2,220.5205,5.395990661
8,kilp,K IH L P,31,control,natural,NatCon,4.538,0,0.00000943,line,2,57.29883,4.048280205
