word,word_len,uni_prob,uni_prob_freq_weighted,uni_prob_smoothed,uni_prob_freq_weighted_smoothed,bi_prob,bi_prob_freq_weighted,bi_prob_smoothed,bi_prob_freq_weighted_smoothed,pos_uni_score,pos_uni_score_freq_weighted,pos_uni_score_smoothed,pos_uni_score_freq_weighted_smoothed,pos_bi_score,pos_bi_score_freq_weighted,pos_bi_score_smoothed,pos_bi_score_freq_weighted_smoothed
P R AA T IH F,6,-19.64179765065581,-19.642235331493737,-19.614205219257247,-19.614319629004605,-19.0816206881647,-19.08138262283484,-19.119371546895135,-19.091379593476454,1.3496745635325595,1.3509736952017102,1.3492277464987448,1.350861340022815,1.049873926201907,1.0495745025619208,1.045813120509216,1.0484802920984242
P W IY G IH F,6,-23.023256856807638,-23.02200570654952,-22.96025979126565,-22.959966842751285,-inf,-inf,-27.961175736522204,-29.057349096892597,1.1978899052717802,1.193044440610518,1.197796680705755,1.19302459549809,1.003319635733587,1.0037541478670673,1.0032638682435235,1.0037200246760158
P W EH Z IH G,6,-23.634664930286164,-23.633068566746147,-23.558360168125457,-23.557973670374324,-inf,-inf,-25.955314158832223,-26.938206414952706,1.1956889489922784,1.1906286763858671,1.1956064217081426,1.1906131237828574,1.0039162899461065,1.0046349318136754,1.0038490525072614,1.0046012194305736
R D IY G IH F,6,-20.832040095349786,-20.832066635304436,-20.836341142931442,-20.836345681852297,-24.334143368566288,-23.996736865778505,-24.33576417897704,-23.997837114129435,1.1710630778939881,1.1709737704812515,1.1710286892767081,1.1709658174677435,1.0033769456080783,1.0039056523361383,1.003316583056386,1.0038683375251927
R D AA S IH P,6,-19.1931429160596,-19.1938047330795,-19.16357327808417,-19.163744416570314,-22.593160037844342,-22.33923924787484,-22.607977443068314,-22.343677974089793,1.2094662466010186,1.2066926157711655,1.2093362166276806,1.206662398252801,1.008512727229448,1.007995751705968,1.0079668219838205,1.0078556280311954
R G IY B IH D,6,-20.629391923177934,-20.629515832266993,-20.676091412229475,-20.676115815380793,-24.4792328623886,-25.372550315723178,-24.41513875254917,-25.33472367561286,1.1979427070513,1.1965542103374112,1.1978034194220142,1.1965185477949116,1.0087610877356827,1.0079040866884659,1.00800649221237,1.0077036555819858
R G EH P IH D,6,-20.344278155661637,-20.344517206832954,-20.29119537073209,-20.291257111288296,-22.642586919260886,-22.361541738425128,-22.635080079214273,-22.361826945512018,1.225579699726005,1.2291596679587455,1.2253733407544256,1.2291039022443029,1.009247001078211,1.00890014609606,1.0084514745973183,1.0086754396844584
R L IY G IH F,6,-20.28565934832372,-20.285804341629937,-20.319584151697303,-20.31961732955582,-25.94910411716159,-25.536023125627004,-25.91785969163544,-25.52973955486474,1.2069827801608202,1.2066162027455474,1.2068695715138094,1.2065890262551222,1.0052108615918023,1.0056673132149334,1.0050034570679833,1.0055928869448876
R L EH Z IH G,6,-20.89706742180224,-20.89686720182656,-20.917684528557114,-20.917624157178857,-24.513889783691905,-24.116513546249333,-24.51829386206867,-24.12008707913795,1.2047818238813184,1.2042004385208964,1.204679312516197,1.2041775545398896,1.0069537132941493,1.007193340462579,1.0066429375889694,1.0071057321911834
R N EH P IH D,6,-18.5709160515733,-18.57174451610709,-18.48336368375236,-18.483584206595562,-22.186486195184138,-22.36359411858444,-22.197514611017915,-22.365757792595947,1.274130506086668,1.2756681552288713,1.2738176101518262,1.2755873055127291,1.0101066491955817,1.009449595469606,1.0092421967902545,1.0092133142604942
